SubjID, x02, x03, x04, x05, x06, x07, x08, x09, x10, x11, x12, x13, x14, x15, x16, x17, x01
102042,   1,   2,   1,   4,   2,   4,   2,   1,   1,   1,   4,   1,   1,   1,   2,   1,   2
102043,   2,   1,   2,   1,   1,   4,   3,   1,   1,   1,   4,   1,   1,   1,   2,   1,   2
102044,   3,   1,   2,   3,   3,   4,   3,   1,   1,   1,   3,   1,   1,   1,   2,   1,   2
102045,   3,   1,   2,   2,   2,   4,   2,   1,   1,   1,   2,   1,   1,   1,   2,   1,   2
102046,   1,   1,   1,   2,   2,   1,   3,   1,   1,   2,   2,   1,   1,   2,   2,   1,   2
102047,   1,   1,   2,   1,   1,   1,   3,   1,   1,   2,   2,   1,   1,   1,   2,   1,   2
102048,   2,   1,   2,   1,   1,   3,   2,   1,   1,   2,   3,   1,   1,   1,   2,   1,   2
102049,   3,   1,   2,   1,   1,   3,   2,   1,   1,   1,   3,   1,   1,   1,   2,   1,   2
102050,   3,   1,   2,   1,   1,   4,   5,   1,   1,   1,   1,   1,   1,   2,   2,   2,   2
102051,   1,   1,   2,   1,   1,   1,   1,   1,   1,   2,   1,   1,   2,   1,   1,   1,   2
102052,   1,   2,   1,   4,   4,   4,   4,   1,   1,   1,   1,   2,   1,   1,   2,   1,   2
102053,   3,   1,   1,   3,   3,   2,   4,   1,   1,   1,   1,   2,   1,   1,   2,   2,   2
102054,   3,   1,   2,   3,   3,   2,   4,   1,   1,   1,   1,   2,   1,   1,   2,   1,   2
102055,   2,   1,   1,   3,   3,   4,   3,   1,   1,   1,   1,   2,   1,   1,   2,   1,   2
102056,   1,   2,   2,   4,   3,   1,   4,   1,   1,   2,   1,   2,   1,   1,   2,   2,   2
102057,   3,   2,   1,   4,   4,   4,   4,   1,   1,   2,   1,   2,   1,   1,   2,   1,   2
102058,   2,   2,   2,   4,   4,   1,   4,   1,   1,   2,   3,   2,   1,   1,   2,   1,   2
102059,   3,   2,   1,   4,   3,   1,   3,   1,   1,   1,   1,   2,   1,   1,   2,   2,   2
102060,   3,   1,   2,   3,   3,   1,   4,   1,   1,   1,   1,   2,   1,   1,   2,   1,   2
102061,   3,   1,   1,   3,   3,   4,   3,   1,   1,   2,   2,   1,   1,   1,   2,   2,   2
102062,   3,   1,   2,   3,   3,   4,   2,   1,   1,   2,   1,   2,   1,   1,   2,   2,   2
102063,   3,   2,   2,   4,   3,   3,   3,   1,   1,   2,   1,   2,   1,   1,   2,   1,   2
102064,   2,   1,   2,   3,   3,   3,   2,   1,   1,   1,   2,   1,   1,   1,   2,   1,   2
102065,   1,   1,   3,   3,   3,   2,   3,   1,   1,   1,   1,   2,   1,   1,   2,   1,   2
102066,   2,   2,   1,   4,   4,   3,   3,   1,   1,   2,   1,   2,   1,   1,   2,   1,   2
102067,   3,   1,   2,   3,   3,   4,   4,   1,   1,   1,   2,   2,   1,   1,   2,   1,   2
102068,   1,   1,   1,   2,   2,   1,   3,   1,   1,   1,   2,   2,   1,   1,   2,   1,   2
102069,   3,   1,   2,   2,   2,   1,   3,   1,   1,   2,   1,   2,   1,   1,   2,   2,   2
102070,   3,   1,   1,   1,   1,   3,   2,   1,   1,   2,   1,   2,   1,   1,   2,   1,   2
102071,   1,   1,   1,   1,   1,   2,   3,   1,   1,   1,   2,   2,   1,   1,   2,   2,   2
102072,   3,   1,   1,   3,   3,   2,   4,   1,   1,   1,   1,   2,   1,   1,   2,   2,   2
102073,   3,   2,   2,   4,   2,   3,   3,   1,   1,   1,   1,   2,   1,   1,   2,   1,   2
102074,   3,   1,   1,   1,   1,   3,   2,   1,   1,   1,   3,   2,   1,   1,   2,   2,   2
102075,   3,   2,   2,   4,   3,   4,   3,   1,   1,   2,   2,   2,   1,   1,   2,   1,   2
102076,   3,   1,   1,   1,   1,   2,   3,   1,   1,   1,   2,   2,   1,   1,   2,   1,   2
102077,   3,   1,   1,   1,   1,   3,   2,   1,   1,   1,   2,   2,   1,   1,   2,   2,   2
102078,   2,   1,   1,   3,   3,   1,   3,   1,   1,   2,   1,   2,   1,   1,   2,   1,   2
102079,   2,   2,   2,   4,   3,   4,   3,   1,   1,   1,   1,   2,   1,   1,   2,   1,   2
102080,   3,   2,   2,   4,   3,   2,   2,   2,   1,   2,   3,   2,   1,   1,   2,   1,   2
102081,   2,   2,   1,   4,   3,   1,   2,   2,   1,   2,   2,   2,   1,   1,   2,   1,   2
102082,   2,   1,   2,   3,   3,   3,   3,   1,   1,   1,   1,   2,   1,   1,   2,   1,   2
102083,   2,   1,   2,   3,   3,   2,   3,   1,   1,   1,   1,   2,   1,   1,   2,   1,   2
102084,   3,   1,   1,   2,   2,   3,   2,   1,   1,   1,   2,   2,   1,   1,   2,   2,   2
102085,   3,   1,   1,   1,   1,   3,   2,   1,   1,   2,   3,   2,   1,   1,   2,   2,   2
102086,   3,   1,   1,   1,   1,   3,   3,   1,   1,   1,   2,   2,   1,   1,   2,   1,   2
102087,   3,   2,   1,   4,   3,   1,   3,   1,   1,   2,   1,   2,   1,   1,   2,   1,   2
102088,   2,   1,   1,   1,   1,   1,   3,   1,   2,   2,   1,   2,   1,   1,   2,   1,   2
102089,   3,   1,   1,   3,   3,   3,   3,   1,   1,   2,   1,   2,   1,   1,   2,   1,   2
102090,   2,   1,   2,   1,   1,   4,   3,   1,   1,   2,   2,   2,   1,   2,   2,   2,   2
102091,   3,   1,   2,   3,   3,   4,   3,   1,   1,   2,   1,   2,   1,   1,   2,   2,   2
102092,   3,   1,   2,   3,   3,   1,   3,   1,   1,   2,   3,   2,   1,   2,   2,   1,   2
102093,   3,   1,   2,   1,   1,   4,   3,   1,   1,   1,   4,   2,   1,   1,   2,   2,   2
102094,   3,   1,   1,   1,   1,   1,   2,   1,   1,   1,   4,   2,   1,   1,   2,   2,   2
102095,   3,   1,   1,   1,   1,   3,   2,   1,   1,   1,   2,   2,   1,   1,   2,   1,   2
102096,   2,   1,   1,   3,   3,   3,   2,   1,   1,   1,   2,   1,   1,   1,   2,   1,   2
102097,   3,   1,   3,   3,   3,   1,   4,   1,   1,   1,   1,   2,   1,   1,   2,   1,   2
102098,   3,   1,   1,   1,   1,   2,   2,   1,   1,   2,   3,   1,   1,   1,   2,   2,   2
102099,   3,   1,   1,   3,   3,   4,   2,   1,   1,   2,   2,   1,   1,   1,   2,   2,   2
102100,   1,   2,   1,   4,   2,   2,   3,   1,   1,   1,   2,   1,   1,   1,   2,   1,   2
102101,   2,   1,   1,   3,   3,   4,   3,   1,   1,   2,   2,   1,   1,   1,   2,   1,   2
102102,   1,   1,   2,   1,   1,   4,   2,   1,   1,   2,   2,   1,   1,   1,   2,   1,   2
102103,   3,   1,   1,   1,   1,   2,   2,   1,   1,   2,   2,   1,   1,   1,   2,   2,   2
102104,   3,   1,   1,   1,   1,   3,   2,   1,   1,   1,   2,   1,   1,   1,   2,   2,   2
102105,   2,   1,   1,   1,   1,   2,   2,   1,   1,   2,   2,   1,   1,   1,   2,   1,   2
102106,   1,   1,   1,   1,   1,   2,   2,   1,   1,   2,   2,   1,   1,   1,   2,   1,   2
102107,   3,   1,   2,   4,   4,   3,   4,   1,   1,   1,   2,   1,   1,   1,   2,   1,   2
102108,   2,   1,   2,   1,   1,   2,   1,   1,   1,   2,   4,   1,   1,   1,   2,   2,   2
102109,   3,   1,   1,   1,   1,   2,   3,   1,   2,   1,   4,   1,   1,   1,   2,   2,   2
102110,   1,   1,   2,   1,   1,   2,   2,   1,   2,   2,   4,   1,   1,   1,   2,   2,   2
102111,   3,   1,   1,   3,   3,   3,   3,   1,   2,   1,   1,   2,   1,   1,   2,   1,   2
102112,   3,   1,   1,   1,   1,   2,   2,   1,   2,   1,   3,   1,   1,   1,   2,   2,   2
102113,   3,   1,   1,   3,   3,   3,   4,   1,   1,   2,   3,   1,   1,   1,   2,   1,   2
102114,   1,   1,   1,   1,   1,   3,   2,   1,   1,   2,   3,   1,   1,   1,   2,   1,   2
102115,   3,   1,   1,   1,   1,   2,   3,   1,   2,   2,   4,   1,   1,   2,   2,   1,   2
102116,   2,   1,   1,   1,   1,   1,   2,   1,   1,   1,   4,   1,   1,   1,   2,   1,   2
102117,   3,   1,   1,   1,   1,   3,   3,   1,   1,   1,   3,   1,   1,   1,   2,   1,   2
102118,   3,   1,   1,   1,   1,   2,   2,   1,   1,   1,   4,   1,   1,   1,   2,   2,   2
102119,   1,   1,   1,   2,   2,   2,   2,   1,   1,   1,   4,   1,   1,   1,   2,   1,   2
102120,   2,   1,   1,   1,   1,   3,   2,   1,   1,   2,   3,   1,   1,   1,   2,   1,   2
102121,   1,   1,   2,   3,   3,   2,   3,   1,   1,   2,   4,   1,   1,   1,   2,   1,   2
102122,   3,   1,   1,   3,   3,   3,   3,   1,   1,   1,   4,   1,   1,   1,   2,   2,   2
102123,   2,   1,   2,   1,   1,   1,   3,   1,   2,   2,   4,   1,   1,   1,   2,   1,   2
102124,   3,   1,   2,   1,   1,   1,   3,   1,   1,   2,   2,   1,   2,   1,   1,   1,   2
102125,   2,   1,   2,   2,   2,   1,   3,   1,   1,   1,   1,   1,   2,   1,   1,   1,   2
